,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000186854.13,24.1614765210642,-0.720723408028189,0.63806214582931,-1.12955048773727,0.258665684065642,0.711694278927967
ENSG00000114127.13,34.9740453972239,-0.69118962644574,0.612392853943481,-1.1286703004368,0.25903694243793,0.712490560021065
ENSG00000170191.6,40.3906677353865,-0.627355771185309,0.555921626730915,-1.12849678987029,0.25911017182024,0.712500858633612
ENSG00000248275.5,14.5117424782245,0.901199667034034,0.798727150896296,1.12829477002597,0.259195451487742,0.712544278701155
ENSG00000130479.13,45.8893753947934,-0.564198197070527,0.50026589132168,-1.12779665145657,0.259405807886103,0.712931426980461
ENSG00000197006.17,71.2533914947051,-0.46007043064471,0.408126850655997,-1.12727312575789,0.2596270211668,0.712980776763869
ENSG00000227500.13,80.9178444156898,0.416989277919605,0.369913857523282,1.12726049440675,0.259632360097161,0.712980776763869
ENSG00000286746.2,12.2241872967941,1.13735092970944,1.00888875713291,1.12733036389621,0.259602829107157,0.712980776763869
ENSG00000116237.18,112.715028599174,-0.364297774189675,0.32343211319429,-1.12635004171907,0.260017384045341,0.713683321875038
ENSG00000196696.14,46.7231400905777,0.86534901812464,0.768293302097609,1.1263263857202,0.260027393263618,0.713683321875038
ENSG00000123352.20,118.210120997554,0.352729819443201,0.313228641115835,1.12610972670522,0.260119077444135,0.713743917610962
ENSG00000188092.17,25.3378380298938,0.695747339502004,0.618295355903831,1.12526696644026,0.260475923353729,0.714531866792172
ENSG00000169696.18,39.2296130678728,0.577632249908829,0.513426594772714,1.12505323212666,0.26056647766016,0.714589104553965
ENSG00000090316.18,151.225619007272,-0.326416309198477,0.290188757213768,-1.1248413354554,0.26065627489733,0.714644236042038
ENSG00000135052.18,160.031788299557,-0.334157948217985,0.297376016291489,-1.12368829331025,0.261145284461419,0.715793570400265
ENSG00000204370.16,119.314618107059,-0.357589141730352,0.318317623555833,-1.12337211410361,0.261279488021399,0.715970034786591
