,control_rep1,control_rep2,pfos50_rep1,pfos50_rep2
ENSG00000011405.16,145.611762587609,174.522071986141,101.367159458432,140.864742513311
ENSG00000011422.14,52.7557470752701,53.7308911634712,251.439534533674,280.772900077868
ENSG00000011426.13,904.527519900283,786.848517348561,356.227865000811,321.255288073587
ENSG00000011451.23,20.3473670633831,28.2221306658151,40.4460348155639,38.8737165388704
ENSG00000011454.20,89.6399466660438,69.9109948814105,79.7005326064269,57.214393658054
ENSG00000011485.17,145.851811144036,139.327669320124,134.677148088671,168.209346797843
ENSG00000011523.17,27.1710045465103,54.1925289220654,38.532983935173,18.6303168486312
ENSG00000011566.17,41.6904823074145,60.8893168203691,46.8645221092833,34.5667511518578
ENSG00000012048.28,147.441472132479,57.235922985661,46.8045275195625,97.2702969306086
ENSG00000012061.19,62.5317441157467,56.8166623463527,118.720097691243,83.0224216747309
ENSG00000012171.22,9.28396064755928,11.4960493640706,7.67474620603226,17.7752386896055
ENSG00000012174.14,99.9098596709737,101.088175531132,101.713061543918,117.472891971338
ENSG00000012232.12,41.2174872816376,20.7606667183672,9.56146815845211,44.3991819674184
ENSG00000012660.16,1063.75371646771,1749.84463003355,1465.19376265143,1284.37396224291
ENSG00000012822.18,63.650429480324,83.5527828196457,110.787477697636,149.172030647768
ENSG00000012963.17,238.420843438547,294.603034176699,443.891088634878,408.886004606597
ENSG00000012983.14,132.049611697295,128.633683472294,71.1030653794217,110.581033157758
ENSG00000013016.18,206.117751913876,316.768100388283,386.910809649509,433.934334015551
ENSG00000013275.10,106.523243524987,55.7302794217327,121.21681826505,114.769825524913
ENSG00000013288.11,43.4507469522089,93.3850258063998,60.3147030854309,31.1265814730103
ENSG00000013306.18,148.69011895811,108.715515097773,191.010289193814,211.82772827646
ENSG00000013364.21,114.661427629825,134.440589688022,90.7701146889824,77.7839930853973
ENSG00000013374.19,110.860266908543,68.3731828809379,74.9543675027194,81.4033322777888
ENSG00000013375.19,132.228586725101,125.022149800697,156.394429965181,221.943482307504
ENSG00000013392.10,13.0502115580775,21.8903702709796,43.6624959545829,35.1536618552277
ENSG00000013441.19,44.9727870422691,36.9382919393972,43.2454247596482,65.7335057034788
ENSG00000013503.12,137.067249696511,139.72252540662,175.15622155494,120.569834362345
ENSG00000013523.14,30.3607994977544,37.2298291880399,52.355123916638,28.9905629416035
ENSG00000013561.20,84.8577984642153,117.82928003273,84.9958242879444,101.534648774008
ENSG00000013563.16,29.3488496523914,29.2076588886164,11.3082584455021,61.7853141191268
ENSG00000013573.19,98.2262893668152,82.3568679730844,74.8303491210939,126.960107388233
ENSG00000013583.12,31.4871358727091,27.2946180347129,55.042517817898,43.699254224584
ENSG00000013588.12,581.162764311838,637.667056437148,490.869628860688,475.335144760808
ENSG00000013619.17,53.7037700435887,94.2214866724987,84.6017762882585,51.9265522655645
ENSG00000013810.23,247.09492725813,232.683495305749,135.866753629296,92.032788239404
ENSG00000014123.12,26.8515940869143,22.0962996239511,45.2541973313446,68.2082789315332
ENSG00000014138.12,147.00843968002,205.838455839829,138.668183033898,121.037253339916
ENSG00000014164.9,43.69719681819,26.6015203260226,39.4852625556026,41.4357551027933
ENSG00000014216.18,214.874497579261,257.978378286809,84.8543356051804,139.582567269547
ENSG00000014641.23,396.384027890768,343.904170010116,301.777531086234,303.945331173204
ENSG00000014824.16,130.827151821281,99.6420413096586,119.110547182244,162.786546235392
ENSG00000014914.23,5.74557483101675,12.3842224919229,10.2126601004786,6.24211746246045
ENSG00000014919.15,105.663085150305,83.2206725157527,80.6483443915184,71.5268802433581
ENSG00000015133.21,7.63707467460102,5.64929821610703,4.23277538050836,10.3493969266581
ENSG00000015153.17,16.1240746552951,10.3311441835504,18.9531315614595,16.8037320169282
ENSG00000015171.23,75.6530494075046,60.5586379220881,68.0792713785321,47.9156142308995
ENSG00000015475.21,91.2004908498061,109.821935670811,85.881616534923,118.194040287298
ENSG00000015479.22,1068.55570733885,1294.12565543589,1067.21645480487,927.605810706306
ENSG00000015532.12,25.4428454254311,19.4594781584927,14.4945982189334,67.6829624358386
ENSG00000015568.15,29.9298368223942,89.4602440604995,28.1761673549024,19.3259645287683
ENSG00000015676.20,47.4373913097956,61.8429918652212,70.4052916441815,96.9627060284865
ENSG00000016864.21,48.8584561228211,83.2965591496282,78.6887986087536,79.0103886462766
ENSG00000017260.22,288.585495308692,264.18894817891,273.117974119302,137.425390289439
ENSG00000017797.15,57.5629053000578,80.7488689884108,28.8022643891875,48.3682392694362
ENSG00000018408.17,338.13769132841,456.465515406463,356.038993490125,265.772390941815
ENSG00000018510.20,171.673913074935,120.797672620013,61.3069510404052,65.4493018607667
ENSG00000018610.17,25.76845344517,20.4156565360927,57.8691795918329,38.8492742948574
ENSG00000018699.15,133.745131235664,121.814729657916,73.9412289865959,78.2624876175103
ENSG00000019144.22,105.852524876454,100.40999875325,44.8125789991061,25.3165406068028
ENSG00000019549.14,41.5716706588605,34.24369788336,71.8220876462544,46.775814864354
ENSG00000019995.7,9.92077382773311,21.4087633157619,8.79054755384303,8.66077911809641
ENSG00000020129.18,65.9987648659157,71.0634949114809,77.3990436590284,47.6285414755269
ENSG00000020256.22,48.0883071509488,39.7467231398943,23.7592160346289,41.2025479732106
ENSG00000020426.13,36.0530512058752,19.0459184442609,36.5610432915858,43.9153220867823
ENSG00000020577.16,10.0904029575259,26.7184113874015,17.231934016053,8.40321584654643
ENSG00000020922.15,133.901913678107,118.679679502382,106.478374039106,111.194672403518
ENSG00000021574.17,25.7930557826449,14.4209266985799,10.2915070195859,16.7796641816121
ENSG00000021645.20,37.4643406651026,25.0358129570617,22.5278487447874,29.9252236529778
ENSG00000021776.13,417.812601132307,547.150638313192,560.865434275276,583.53030065645
